home_team,home_score,away_team,away_score
Youngbloods,12,Supernova,11
Smokestack,13,Colorblind,6
Cash Crop,13,Bruises,10
John Doe,10,Town Hall Stars,13
Smokestack,12,Cash Crop,13
Youngbloods,12,Smokestack,13
Cash Crop,13,CityWide Special,8
Supernova,6,Medicine Men,13
Supernova,12,Colorblind,8
Bruises,7,Medicine Men,12
Colorblind,13,Swell,8
Bruises,15,RUNTIME,11
John Doe,6,Medicine Men,11
Supernova,13,VAlhalla,2
Swell,6,John Doe,9
Swell,13,VAlhalla,9
RUNTIME,10,John Doe,12
Air Show,6,Sundowners,12
Gridlock,8,Honduras,13
Air Show,12,Honduras,8
Gridlock,8,Sundowners,11
Air Show,13,Gridlock,7
Sundowners,10,Honduras,12
Sundowners,11,Air Show,8
Ring of Fire,9,Rhino,14
Boost FC,13,Dire Wolf,10
Ring of Fire,13,Boost FC,7
Rhino,12,Dire Wolf,9
Ring of Fire,13,Dire Wolf,9
Boost FC,10,Rhino,12
PoNY,13,Madison Club,11
Madcow,13,Omen,12
PoNY,13,Madcow,9
Madison Club,12,Omen,10
PoNY,13,Omen,6
Madcow,9,Madison Club,13
Florida United,10,Streetgang,12
Sub Zero,13,Garuda,8
Florida United,13,Sub Zero,10
Streetgang,12,Garuda,7
Florida United,12,Garuda,10
Sub Zero,13,Streetgang,6
Truck Stop,10,Condors,13
HIGH FIVE,13,Inception,9
Truck Stop,14,HIGH FIVE,12
Condors,13,Inception,11
Truck Stop,12,Inception,11
HIGH FIVE,11,Condors,12
Inception,10,Dire Wolf,13
Garuda,13,Omen,9
Inception,14,Omen,13
Garuda,9,Dire Wolf,10
Inception,10,Garuda,13
Omen,7,Dire Wolf,11
Rhino,13,Ring of Fire,15
Rhino,13,Condors,6
Sub Zero,7,Ring of Fire,13
Rhino,13,Madison Club,10
Condors,12,Madcow,9
Sub Zero,14,Truck Stop,13
PoNY,12,Ring of Fire,13
Madison Club,11,Streetgang,10
Florida United,11,Madcow,13
Truck Stop,12,Boost FC,11
Ring of Fire,13,HIGH FIVE,7
Condors,13,Sub Zero,11
Madison Club,10,PoNY,12
Madison Club,13,Madcow,9
Truck Stop,10,PoNY,11
Madcow,9,Truck Stop,13
Streetgang,10,Boost FC,13
Streetgang,11,Florida United,9
Boost FC,13,HIGH FIVE,8
Florida United,13,HIGH FIVE,8
Temper,17,Breaker's Mark,7
Mistress,14,Los Heros,17
Temper,17,Mistress,2
Breaker's Mark,17,Los Heros,8
Temper,17,Los Heros,5
Mistress,13,Breaker's Mark,17
Kentucky Flying Circus,17,Enigma,6
CaSTLe,15,Pocket City Approach,16
Kentucky Flying Circus,17,CaSTLe,11
Enigma,17,Pocket City Approach,11
Kentucky Flying Circus,15,Pocket City Approach,7
CaSTLe,15,Enigma,17
Temper,15,Kentucky Flying Circus,8
Temper,15,Enigma,4
Pocket City Approach,7,Kentucky Flying Circus,15
Temper,15,CaSTLe,4
Enigma,15,Los Heros,10
Breaker's Mark,11,Pocket City Approach,15
Kentucky Flying Circus,15,Mistress,6
Breaker's Mark,W,CaSTLe,F
Mistress,10,Breaker's Mark,13
Los Heros,8,CaSTLe,15
Enigma,15,Pocket City Approach,9
Los Heros,11,Mistress,8
Team Rocket,6,Train Wreck,13
Presidio de Bexar,13,Hypnotoad,4
H.I.P,13,Team Rocket,3
Presidio de Bexar,7,Train Wreck,13
H.I.P,13,Hypnotoad,4
Presidio de Bexar,13,Team Rocket,4
H.I.P,13,Presidio de Bexar,9
Hypnotoad,6,Train Wreck,13
H.I.P,13,Train Wreck,3
Hypnotoad,13,Team Rocket,6
Riverside Ultimate,13,Riverside Messengers,3
Space City Eclipse,13,Zero Gravity,5
Riverside Ultimate,10,Space City Eclipse,11
Zero Gravity,13,Riverside Messengers,5
Riverside Ultimate,13,Zero Gravity,6
Space City Eclipse,13,Riverside Messengers,10
Space City Ignite,W,Huck It Trebek Tribute Band,L
Rawhide,13,Space City Fuel,7
Space City Ignite,13,Rawhide,4
Space City Fuel,10,Huck It Trebek Tribute Band,11
Space City Ignite,13,Space City Fuel,7
Rawhide,13,Huck It Trebek Tribute Band,4
Riverside Ultimate,13,Space City Fuel,6
Space City Eclipse,13,Huck It Trebek Tribute Band,6
Space City Ignite,13,Zero Gravity,7
Rawhide,13,Riverside Messengers,7
H.I.P,11,Space City Ignite,9
H.I.P,13,Riverside Ultimate,6
Space City Ignite,W,Presidio de Bexar,L
Zero Gravity,1,H.I.P,13
Rawhide,3,Riverside Ultimate,13
Train Wreck,5,Space City Ignite,13
Presidio de Bexar,11,Space City Eclipse,10
Zero Gravity,11,Huck It Trebek Tribute Band,6
Space City Fuel,W,Huck It Trebek Tribute Band,F
Space City Fuel,13,Hypnotoad,7
Space City Fuel,13,Team Rocket,5
Hypnotoad,W,Riverside Messengers,L
Zero Gravity,10,Train Wreck,13
Zero Gravity,11,Rawhide,10
Train Wreck,9,Space City Eclipse,8
Riverside Ultimate,13,Presidio de Bexar,9
Team Rocket,11,Riverside Messengers,8
Garden State Ultimate,13,Drago,7
Watchdogs,6,Colorblind,13
Lone Wolves,13,Devyl U19B,3
Drago,13,Devyl U19B,5
Garden State Ultimate,13,Colorblind,4
Watchdogs,10,Lone Wolves,13
Garden State Ultimate,13,Lone Wolves,3
Watchdogs,11,Devyl U19B,10
Colorblind,8,Drago,13
Colorblind,13,Devyl U19B,4
Garden State Ultimate,13,Watchdogs,5
Lone Wolves,11,Drago,13
Watchdogs,11,Drago,13
Lone Wolves,14,Colorblind,12
Garden State Ultimate,13,Devyl U19B,1
Richmond Floodwall,8,Genny Tall Boys,15
Town Hall Stars,15,Possum Stompers,12
Richmond Floodwall,15,Westchester Magma Bears,10
Town Hall Stars,15,Genny Tall Boys,12
Richmond Floodwall,11,Town Hall Stars,10
Westchester Magma Bears,3,Possum Stompers,15
Richmond Floodwall,15,Possum Stompers,13
Westchester Magma Bears,11,Genny Tall Boys,15
Genny Tall Boys,12,Possum Stompers,15
Town Hall Stars,15,Westchester Magma Bears,9
Town Hall Stars,15,Possum Stompers,12
Garden State Ultimate,13,Town Hall Stars,15
Richmond Floodwall,12,Possum Stompers,15
Garden State Ultimate,15,Genny Tall Boys,6
Town Hall Stars,15,Lone Wolves,5
Richmond Floodwall,15,Colorblind,12
Drago,7,Possum Stompers,15
Garden State Ultimate,15,Richmond Floodwall,5
Genny Tall Boys,0,Colorblind,0
Genny Tall Boys,14,Lone Wolves,12
Colorblind,15,Drago,13
Watchdogs,7,Westchester Magma Bears,15
Westchester Magma Bears,15,Devyl U19B,8
Prairie Fire,13,Zero Gravity,3
H.I.P,13,Sick Katz,4
Hypnotoad,12,Drought Ultimate,11
Prairie Fire,13,Sick Katz,4
Zero Gravity,11,Drought Ultimate,7
H.I.P,13,Hypnotoad,5
Prairie Fire,13,Drought Ultimate,1
H.I.P,13,Zero Gravity,3
Hypnotoad,10,Sick Katz,13
Prairie Fire,13,Hypnotoad,1
H.I.P,13,Drought Ultimate,1
Zero Gravity,6,Sick Katz,13
Prairie Fire,13,H.I.P,7
Zero Gravity,11,Hypnotoad,12
Sick Katz,13,Drought Ultimate,7
PLEX,13,Crude Ultimate,3
Riverside Ultimate,11,Texas Two Step,8
Smokestack,13,Huck It Trebek Tribute Band,6
PLEX,13,Texas Two Step,5
Riverside Ultimate,9,Smokestack,10
Crude Ultimate,13,Huck It Trebek Tribute Band,6
PLEX,13,Huck It Trebek Tribute Band,2
Riverside Ultimate,11,Crude Ultimate,8
Smokestack,6,Texas Two Step,8
PLEX,13,Smokestack,5
Riverside Ultimate,12,Huck It Trebek Tribute Band,7
Crude Ultimate,10,Texas Two Step,9
PLEX,13,Riverside Ultimate,5
Crude Ultimate,7,Smokestack,11
Texas Two Step,11,Huck It Trebek Tribute Band,8
Prairie Fire,13,H.I.P,8
Prairie Fire,15,Smokestack,1
H.I.P,13,PLEX,9
Prairie Fire,15,Crude Ultimate,3
Smokestack,15,Sick Katz,5
H.I.P,15,Riverside Ultimate,7
PLEX,15,Hypnotoad,1
PLEX,13,Smokestack,6
Crude Ultimate,8,Riverside Ultimate,14
Crude Ultimate,W,Sick Katz,F
Riverside Ultimate,W,Hypnotoad,F
Hypnotoad,7,Sick Katz,1
Huck It Trebek Tribute Band,3,Texas Two Step,11
Zero Gravity,9,Huck It Trebek Tribute Band,10
Drought Ultimate,5,Texas Two Step,15
Zero Gravity,12,Drought Ultimate,11
Omen,13,Riders of Brohan,0
ATLiens,9,Birmingham,10
Omen,9,ATLiens,4
Bullet,13,Birmingham,2
Birmingham,13,Riders of Brohan,2
Bullet,11,ATLiens,4
Omen,13,Birmingham,6
Bullet,13,Riders of Brohan,0
Omen,6,Bullet,8
ATLiens,13,Riders of Brohan,1
Freaks Uv Nature,13,Pilot,8
Cockfight,13,Jello Yackets,7
Freaks Uv Nature,13,Cockfight,7
Strong Hand,12,Jello Yackets,10
Jello Yackets,7,Pilot,9
Strong Hand,12,Cockfight,10
Freaks Uv Nature,13,Jello Yackets,6
Strong Hand,12,Pilot,8
Freaks Uv Nature,12,Strong Hand,5
Cockfight,10,Pilot,9
Six Pack,11,Voodoo,7
Ironmen,13,Dune Cats,7
Six Pack,13,Dune Cats,5
Ironmen,8,Voodoo,10
Six Pack,13,Ironmen,9
Voodoo,11,Dune Cats,7
Shrimp Boat,10,ShawShack Redemption,12
Vicious Cycle,13,Jurassic,2
Shrimp Boat,13,Jurassic,2
Vicious Cycle,8,ShawShack Redemption,9
Shrimp Boat,4,Vicious Cycle,13
ShawShack Redemption,13,Jurassic,7
Six Pack,10,ShawShack Redemption,7
Voodoo,6,Shrimp Boat,11
Ironmen,8,Vicious Cycle,9
Dune Cats,12,Jurassic,8
Bullet,13,Omen,10
Bullet,13,ShawShack Redemption,9
Omen,13,Freaks Uv Nature,9
Bullet,13,Shrimp Boat,7
ShawShack Redemption,13,Strong Hand,12
Omen,13,Six Pack,11
Vicious Cycle,6,Freaks Uv Nature,13
ShawShack Redemption,4,Freaks Uv Nature,13
Shrimp Boat,11,Vicious Cycle,7
Shrimp Boat,13,Strong Hand,6
Six Pack,11,Vicious Cycle,12
Strong Hand,9,Six Pack,13
Pilot,F,Ironmen,W
Pilot,13,Voodoo,9
Ironmen,13,ATLiens,9
Birmingham,10,Pilot,12
ATLiens,11,Cockfight,10
Birmingham,7,Cockfight,13
Voodoo,13,ATLiens,7
Dune Cats,13,Jello Yackets,10
Riders of Brohan,4,Dune Cats,13
Jurassic,10,Jello Yackets,13
Riders of Brohan,8,Jurassic,13
Phoenix,15,Youngbloods,8
Night's Watch,14,Stonefish,10
Phoenix,15,Stonefish,8
Night's Watch,14,Youngbloods,11
Phoenix,13,Night's Watch,10
Youngbloods,14,Stonefish,12
Big Wrench,15,Providence Pack Dogs,11
John Doe,15,Providence Pack Dogs,14
Big Wrench,15,John Doe,10
Phoenix,12,Big Wrench,7
Night's Watch,15,Providence Pack Dogs,9
Youngbloods,9,John Doe,15
John Doe,14,Providence Pack Dogs,13
Night's Watch,13,Youngbloods,14
Big Wrench,15,Stonefish,8
Phoenix,15,John Doe,10
Youngbloods,5,Big Wrench,15
Phoenix,13,Big Wrench,15
John Doe,5,Youngbloods,11
Providence Pack Dogs,F,Stonefish,W
Night's Watch,15,Stonefish,6
Right Coast Ultimate,4,The Cat's Meow,13
Vicious Cycle,13,Central Florida (B),5
UpRoar,11,Cartel,6
Omen,13,Cartel,7
Vicious Cycle,13,The Cat's Meow,5
UpRoar,13,Central Florida (B),4
Omen,10,Vicious Cycle,7
Right Coast Ultimate,6,Central Florida (B),13
UpRoar,13,The Cat's Meow,5
Omen,13,Right Coast Ultimate,6
Cartel,12,The Cat's Meow,4
Vicious Cycle,11,UpRoar,12
Cartel,0,Right Coast Ultimate,0
Omen,0,Central Florida (B),0
The Cat's Meow,8,Central Florida (B),13
Cartel,13,Central Florida (B),2
Vicious Cycle,13,Right Coast Ultimate,5
Omen,9,UpRoar,10
Vicious Cycle,7,Cartel,4
Omen,13,The Cat's Meow,2
UpRoar,13,Right Coast Ultimate,6
UpRoar,5,Omen,10
Cartel,7,Vicious Cycle,6
The Cat's Meow,9,Central Florida (B),6
Doublewide,8,PoNY,13
GOAT,12,Madcow,11
Ring of Fire,13,Boost FC,3
Doublewide,13,GOAT,10
PoNY,13,Ring of Fire,10
Madcow,11,Boost FC,9
Doublewide,10,Ring of Fire,12
GOAT,7,Boost FC,13
