home_team,home_score,away_team,away_score
CaSTLe,15,Enigma,17
Team Rocket,6,Train,13
Presidio de Bexar,13,Hypnotoad,4
H.I.P,13,Team,3
Presidio de Bexar,7,Train,13
H.I.P,13,Hypnotoad,4
Presidio de Bexar,13,Team,4
H.I.P,13,Presidio,9
Hypnotoad,6,Train,13
H.I.P,13,Train,3
Hypnotoad,13,Team,6
Riverside Ultimate,13,Riverside,3
Space City Eclipse,13,Zero,5
Riverside Ultimate,10,Space,11
Zero Gravity,13,Riverside,5
Riverside Ultimate,13,Zero,6
Space City Eclipse,13,Riverside,10
Space City Ignite,W,Huck,L
Rawhide,13,Space,7
Space City Ignite,13,Rawhide,4
Space City Fuel,10,Huck,11
Space City Ignite,13,Space,7
Rawhide,13,Huck,4
Garden State Ultimate,13,Drago,7
Watchdogs,6,Colorblind,13
Lone Wolves,13,Devyl,3
Drago,13,Devyl,5
Garden State Ultimate,13,Colorblind,4
Watchdogs,10,Lone,13
Garden State Ultimate,13,Lone,3
Watchdogs,11,Devyl,10
Colorblind,8,Drago,13
Colorblind,13,Devyl,4
Garden State Ultimate,13,Watchdogs,5
Lone Wolves,11,Drago,13
Watchdogs,11,Drago,13
Lone Wolves,14,Colorblind,12
Garden State Ultimate,13,Devyl,1
