home_team,home_score,away_team,away_score,tournament
Brickyard,6,BroCats,13,Motown Throwdown
MKE,7,Smokestack,13,Motown Throwdown
Beachfront Property,13,Layons,5,Motown Throwdown
City Park Ultimate,13,Flying Pig,6,Motown Throwdown
CAKti,12,Jurassic Shark,13,Motown Throwdown
Spoiler,8,Enigma,13,Motown Throwdown
Super Phun Tyme,13,Midnight Meat Train,15,Motown Throwdown
Hustle,11,Bear Jordan,8,Motown Throwdown
Black Market,15,Chicago YCC U-19,4,Motown Throwdown
Impulse,13,Mesozoic Minnow,3,Motown Throwdown
Grimace,13,Kettnetic Thunder,2,Motown Throwdown
Hippie Mafia,13,SEMI (YCC-MI),11,Motown Throwdown
BroCats,12,Smokestack,10,Motown Throwdown
BroCats,13,MKE,8,Motown Throwdown
Brickyard,8,Smokestack,13,Motown Throwdown
BroCats,13,City Park Ultimate,10,Motown Throwdown
MKE,15,Enigma,14,Motown Throwdown
Brickyard,13,Jurassic Shark,4,Motown Throwdown
Smokestack,13,Beachfront Property,8,Motown Throwdown
MKE,7,Brickyard,13,Motown Throwdown
City Park Ultimate,7,Beachfront Property,13,Motown Throwdown
City Park Ultimate,13,Enigma,5,Motown Throwdown
Jurassic Shark,6,Beachfront Property,13,Motown Throwdown
Enigma,9,Jurassic Shark,13,Motown Throwdown
Black Market,13,Midnight Meat Train,7,Motown Throwdown
Black Market,13,Impulse,7,Motown Throwdown
Midnight Meat Train,13,Spoiler,10,Motown Throwdown
Layons,6,Black Market,13,Motown Throwdown
Flying Pig,2,Impulse,7,Motown Throwdown
CAKti,11,Midnight Meat Train,13,Motown Throwdown
Spoiler,13,Hustle,7,Motown Throwdown
Impulse,11,Spoiler,7,Motown Throwdown
Layons,W,Hustle,L,Motown Throwdown
Layons,W,Flying Pig,F,Motown Throwdown
CAKti,12,Hustle,13,Motown Throwdown
Flying Pig,F,CAKti,W,Motown Throwdown
Super Phun Tyme,7,Chicago YCC U-19,13,Motown Throwdown
Super Phun Tyme,13,Grimace,7,Motown Throwdown
Chicago YCC U-19,13,Mesozoic Minnow,7,Motown Throwdown
Super Phun Tyme,13,Hippie Mafia,7,Motown Throwdown
Bear Jordan,10,Grimace,13,Motown Throwdown
Chicago YCC U-19,13,SEMI (YCC-MI),4,Motown Throwdown
Mesozoic Minnow,13,Kettnetic Thunder,3,Motown Throwdown
Grimace,11,Mesozoic Minnow,13,Motown Throwdown
Bear Jordan,W,SEMI (YCC-MI),F,Motown Throwdown
Hippie Mafia,10,Bear Jordan,12,Motown Throwdown
SEMI (YCC-MI),13,Kettnetic Thunder,3,Motown Throwdown
Hippie Mafia,0,Kettnetic Thunder,0,Motown Throwdown
Southern Hospitality,13,Humidity,4,Club Terminus
Pilot,13,Jello Yackets,8,Club Terminus
Southern Hospitality,13,Pilot,4,Club Terminus
Shrimp Boat,13,Jello Yackets,4,Club Terminus
Jello Yackets,13,Humidity,9,Club Terminus
Shrimp Boat,12,Pilot,7,Club Terminus
Southern Hospitality,13,Jello Yackets,2,Club Terminus
Shrimp Boat,13,Humidity,3,Club Terminus
Southern Hospitality,13,Shrimp Boat,10,Club Terminus
Pilot,13,Humidity,3,Club Terminus
Bullet,13,Strong Hand,8,Club Terminus
Ironmen,13,Shotgun,7,Club Terminus
Bullet,13,Shotgun,3,Club Terminus
Ironmen,12,Strong Hand,8,Club Terminus
Bullet,5,Ironmen,13,Club Terminus
Strong Hand,12,Shotgun,4,Club Terminus
Six Pack,12,Voodoo,13,Club Terminus
ShawShack Redemption,9,Queen City Thunder,13,Club Terminus
Six Pack,13,Queen City Thunder,5,Club Terminus
ShawShack Redemption,8,Voodoo,12,Club Terminus
Six Pack,9,ShawShack Redemption,12,Club Terminus
Voodoo,6,Queen City Thunder,8,Club Terminus
Freaks Uv Nature,13,Blade,6,Club Terminus
UpRoar,13,Dune Cats,7,Club Terminus
Freaks Uv Nature,13,Dune Cats,3,Club Terminus
UpRoar,13,Blade,4,Club Terminus
Freaks Uv Nature,13,UpRoar,6,Club Terminus
Blade,10,Dune Cats,13,Club Terminus
Ironmen,11,Voodoo,9,Club Terminus
Queen City Thunder,6,UpRoar,13,Club Terminus
Freaks Uv Nature,13,Bullet,8,Club Terminus
Strong Hand,7,Six Pack,13,Club Terminus
ShawShack Redemption,13,Blade,12,Club Terminus
Dune Cats,12,Shotgun,13,Club Terminus
Southern Hospitality,13,Bullet,9,Club Terminus
Southern Hospitality,9,Freaks Uv Nature,7,Club Terminus
Ironmen,7,Bullet,12,Club Terminus
Southern Hospitality,13,Queen City Thunder,6,Club Terminus
Freaks Uv Nature,11,Voodoo,9,Club Terminus
Ironmen,13,Shrimp Boat,8,Club Terminus
UpRoar,8,Bullet,10,Club Terminus
Freaks Uv Nature,13,Ironmen,7,Club Terminus
Voodoo,11,Queen City Thunder,8,Club Terminus
UpRoar,6,Voodoo,8,Club Terminus
Shrimp Boat,6,Queen City Thunder,8,Club Terminus
UpRoar,13,Shrimp Boat,6,Club Terminus
Blade,9,Six Pack,13,Club Terminus
Blade,9,Strong Hand,8,Club Terminus
Six Pack,13,ShawShack Redemption,9,Club Terminus
Pilot,7,Blade,13,Club Terminus
Shotgun,5,Strong Hand,13,Club Terminus
Six Pack,13,Jello Yackets,9,Club Terminus
ShawShack Redemption,13,Dune Cats,4,Club Terminus
Humidity,10,Dune Cats,13,Club Terminus
Strong Hand,10,ShawShack Redemption,11,Club Terminus
Shotgun,W,Jello Yackets,F,Club Terminus
Pilot,10,Shotgun,11,Club Terminus
Jello Yackets,13,Humidity,5,Club Terminus
Dune Cats,F,Pilot,W,Club Terminus
Southern Hospitality,13,Bruises,8,Chesapeake Open
John Doe,13,VAlhalla,8,Chesapeake Open
Southern Hospitality,13,VAlhalla,4,Chesapeake Open
John Doe,13,Bruises,8,Chesapeake Open
